For the starting case of [2, 2, 2, 3] here are 3 versions of the algorithm, each one preventing more duplicates. It is usefule for 
analysis of which cases couldn't be handeled in each of the versions.


target   # of solutions   all solutions
     1   45               ['((2 + 3) - (2 + 2))', '((2 + 3) - (2 * 2))', '(((2 + 3) - 2) - 2)', '(2 - (2 + (2 - 3)))', '((2 - (2 - 3)) - 2)', '((2 - 2) - (2 - 3))', '((3 - 2) + (2 - 2))', '((3 - 2) - (2 - 2))', '((3 - 2) ÷ (2 ÷ 2))', '((3 - 2) * (2 ÷ 2))', '((2 + (3 - 2)) - 2)', '(2 - (2 - (3 - 2)))', '(2 + ((3 - 2) - 2))', '(2 ÷ (2 ÷ (3 - 2)))', '(2 * ((3 - 2) ÷ 2))', '(2 ÷ (2 * (3 - 2)))', '((2 ÷ (2 ÷ 3)) - 2)', '(2 * (2 - (3 ÷ 2)))', '((2 * (3 ÷ 2)) - 2)', '(((2 * 3) ÷ 2) - 2)', '(23 - 22)', '(2 + (3 - (2 + 2)))', '(2 - ((2 + 2) - 3))', '(3 + (2 - (2 + 2)))', '(3 - ((2 + 2) - 2))', '(3 - ((2 + 2) ÷ 2))', '((2 - 2) + (3 - 2))', '(3 - (2 + (2 - 2)))', '(3 - (2 - (2 - 2)))', '(3 + ((2 - 2) - 2))', '((3 + (2 - 2)) - 2)', '((3 - (2 - 2)) - 2)', '(2 ÷ (3 - (2 ÷ 2)))', '((3 ÷ (2 ÷ 2)) - 2)', '((3 * (2 ÷ 2)) - 2)', '((2 ÷ 2) ÷ (3 - 2))', '((2 ÷ 2) * (3 - 2))', '(3 ÷ (2 + (2 ÷ 2)))', '(3 - (2 ÷ (2 ÷ 2)))', '(3 - (2 * (2 ÷ 2)))', '(3 + (2 - (2 * 2)))', '(3 - ((2 * 2) - 2))', '(3 - ((2 * 2) ÷ 2))', '(2 + (3 - (2 * 2)))', '(2 - ((2 * 2) - 3))']
     2   25               ['(2 ÷ (2 + (2 - 3)))', '(2 * (2 + (2 - 3)))', '((2 ÷ 2) - (2 - 3))', '((3 - 2) + (2 ÷ 2))', '(2 ÷ (2 - (3 - 2)))', '(2 * (2 - (3 - 2)))', '((2 * 3) - (2 + 2))', '((2 * 3) - (2 * 2))', '(((2 * 3) - 2) - 2)', '(((2 * 3) - 2) ÷ 2)', '(2 ÷ ((2 + 2) - 3))', '(2 * ((2 + 2) - 3))', '((2 + (2 + 2)) ÷ 3)', '(2 + ((2 - 2) ÷ 3))', '(2 - ((2 - 2) ÷ 3))', '(2 + (3 * (2 - 2)))', '(2 - (3 * (2 - 2)))', '((3 + (2 ÷ 2)) - 2)', '((3 + (2 ÷ 2)) ÷ 2)', '((2 ÷ 2) + (3 - 2))', '(3 - (2 - (2 ÷ 2)))', '(3 + ((2 ÷ 2) - 2))', '((2 + (2 * 2)) ÷ 3)', '(2 ÷ ((2 * 2) - 3))', '(2 * ((2 * 2) - 3))']
     3   21               ['(2 + (2 + (2 - 3)))', '((2 - 3) + (2 + 2))', '((2 - 3) + (2 * 2))', '((2 + 2) - (3 - 2))', '((2 * 2) - (3 - 2))', '(2 + (2 - (3 - 2)))', '(2 - ((3 - 2) - 2))', '((2 + 2) + (2 - 3))', '(2 - (3 - (2 + 2)))', '(2 + ((2 + 2) - 3))', '((2 + (2 + 2)) - 3)', '(3 + ((2 - 2) ÷ 2))', '(3 - ((2 - 2) ÷ 2))', '(3 + (2 * (2 - 2)))', '(3 - (2 * (2 - 2)))', '(3 ÷ (2 - (2 ÷ 2)))', '(3 * (2 - (2 ÷ 2)))', '((2 * 2) + (2 - 3))', '((2 + (2 * 2)) - 3)', '(2 - (3 - (2 * 2)))', '(2 + ((2 * 2) - 3))']
     4   21               ['((2 + 3) - (2 ÷ 2))', '(2 - (2 ÷ (2 - 3)))', '(2 - (2 * (2 - 3)))', '((2 + 2) ÷ (3 - 2))', '((3 - 2) * (2 + 2))', '((2 * 2) ÷ (3 - 2))', '((3 - 2) * (2 * 2))', '(2 + (2 ÷ (3 - 2)))', '(2 * (2 ÷ (3 - 2)))', '(2 ÷ ((3 - 2) ÷ 2))', '(2 + (2 * (3 - 2)))', '(2 * (2 * (3 - 2)))', '(2 ÷ (2 - (3 ÷ 2)))', '((2 + (2 * 3)) ÷ 2)', '((2 + 2) * (3 - 2))', '(2 + (3 - (2 ÷ 2)))', '(2 * (3 - (2 ÷ 2)))', '(2 - ((2 ÷ 2) - 3))', '(3 + (2 - (2 ÷ 2)))', '(3 - ((2 ÷ 2) - 2))', '((2 * 2) * (3 - 2))']
     5   45               ['((2 + 3) + (2 - 2))', '((2 + 3) - (2 - 2))', '((2 + 3) ÷ (2 ÷ 2))', '((2 + 3) * (2 ÷ 2))', '((2 + (2 + 3)) - 2)', '(2 - (2 - (2 + 3)))', '(2 + ((2 + 3) - 2))', '(2 ÷ (2 ÷ (2 + 3)))', '(2 * ((2 + 3) ÷ 2))', '((2 * (2 + 3)) ÷ 2)', '(2 + (2 - (2 - 3)))', '(2 - ((2 - 3) - 2))', '((2 + 2) - (2 - 3))', '((2 * 2) - (2 - 3))', '((3 - 2) + (2 + 2))', '((3 - 2) + (2 * 2))', '(2 + (2 + (3 - 2)))', '(2 + (2 ÷ (2 ÷ 3)))', '(2 + (2 * (3 ÷ 2)))', '((2 * 3) - (2 ÷ 2))', '(2 + ((2 * 3) ÷ 2))', '((2 + 2) + (3 - 2))', '((3 + (2 + 2)) - 2)', '(3 - (2 - (2 + 2)))', '(3 + ((2 + 2) - 2))', '(3 + ((2 + 2) ÷ 2))', '((2 * (2 + 2)) - 3)', '((2 - 2) + (2 + 3))', '(3 + (2 + (2 - 2)))', '(3 + (2 - (2 - 2)))', '(3 - ((2 - 2) - 2))', '(2 + (3 + (2 - 2)))', '(2 + (3 - (2 - 2)))', '(2 - ((2 - 2) - 3))', '(2 + (3 ÷ (2 ÷ 2)))', '(2 + (3 * (2 ÷ 2)))', '((2 ÷ 2) * (2 + 3))', '(3 + (2 ÷ (2 ÷ 2)))', '(3 + (2 * (2 ÷ 2)))', '((2 * 2) + (3 - 2))', '(3 - (2 - (2 * 2)))', '(3 + ((2 * 2) - 2))', '(3 + ((2 * 2) ÷ 2))', '((2 * (2 * 2)) - 3)', '((3 + (2 * 2)) - 2)']
     6   46               ['((2 + 3) + (2 ÷ 2))', '(2 * ((2 + 3) - 2))', '(2 * (2 - (2 - 3)))', '(2 * (2 + (3 - 2)))', '(2 * (2 ÷ (2 ÷ 3)))', '(2 ÷ ((2 ÷ 3) ÷ 2))', '((2 + 2) ÷ (2 ÷ 3))', '((2 * 2) ÷ (2 ÷ 3))', '((3 ÷ 2) * (2 + 2))', '((3 ÷ 2) * (2 * 2))', '(2 * (2 * (3 ÷ 2)))', '((2 * 3) + (2 - 2))', '((2 * 3) - (2 - 2))', '((2 * 3) ÷ (2 ÷ 2))', '((2 * 3) * (2 ÷ 2))', '((2 + (2 * 3)) - 2)', '(2 - (2 - (2 * 3)))', '(2 + ((2 * 3) - 2))', '(2 ÷ (2 ÷ (2 * 3)))', '(2 * ((2 * 3) ÷ 2))', '((2 * (2 * 3)) ÷ 2)', '((2 + 2) * (3 ÷ 2))', '((3 * (2 + 2)) ÷ 2)', '(3 * ((2 + 2) - 2))', '(3 ÷ (2 ÷ (2 + 2)))', '(3 * ((2 + 2) ÷ 2))', '((2 - 2) + (2 * 3))', '(3 * (2 + (2 - 2)))', '(3 * (2 - (2 - 2)))', '(2 * (3 + (2 - 2)))', '(2 * (3 - (2 - 2)))', '(2 + (3 + (2 ÷ 2)))', '(2 * (3 ÷ (2 ÷ 2)))', '(2 ÷ ((2 ÷ 2) ÷ 3))', '(2 * (3 * (2 ÷ 2)))', '((2 ÷ 2) + (2 + 3))', '((2 ÷ 2) * (2 * 3))', '(3 + (2 + (2 ÷ 2)))', '(3 * (2 ÷ (2 ÷ 2)))', '(3 ÷ ((2 ÷ 2) ÷ 2))', '(3 * (2 * (2 ÷ 2)))', '((2 * 2) * (3 ÷ 2))', '(3 * ((2 * 2) - 2))', '(3 ÷ (2 ÷ (2 * 2)))', '(3 * ((2 * 2) ÷ 2))', '((3 * (2 * 2)) ÷ 2)']
     7   3                ['(2 * (2 + (3 ÷ 2)))', '((2 * 3) + (2 ÷ 2))', '((2 ÷ 2) + (2 * 3))']
     8   8                ['((2 * (2 + 3)) - 2)', '(2 * ((2 * 3) - 2))', '(32 ÷ (2 + 2))', '(32 ÷ (2 * 2))', '((32 ÷ 2) ÷ 2)', '(2 * (3 + (2 ÷ 2)))', '((2 + 22) ÷ 3)', '((22 ÷ 2) - 3)']
     9   10               ['((2 + 3) + (2 + 2))', '((2 + 3) + (2 * 2))', '(2 + (2 + (2 + 3)))', '((2 + 2) + (2 + 3))', '(2 + (3 + (2 + 2)))', '(3 + (2 + (2 + 2)))', '(3 * (2 + (2 ÷ 2)))', '((2 * 2) + (2 + 3))', '(3 + (2 + (2 * 2)))', '(2 + (3 + (2 * 2)))']
    10   9                ['((2 * 3) + (2 + 2))', '((2 * 3) + (2 * 2))', '(2 + (2 + (2 * 3)))', '((2 * (2 * 3)) - 2)', '(32 - 22)', '((2 + 2) + (2 * 3))', '((3 * (2 + 2)) - 2)', '((2 * 2) + (2 * 3))', '((3 * (2 * 2)) - 2)']
